prev=4169.653, curr=0, gap=4169.653
prev=4184.875, curr=4176.547, gap=8.32800000000043
prev=6465.675, curr=4314.97, gap=2150.705
prev=6468.799, curr=6466.461, gap=2.337999999999738
prev=6471.59, curr=6468.799, gap=2.7910000000001673
prev=6472.993, curr=6471.978, gap=1.0150000000003274
prev=6486.077, curr=6484.991, gap=1.08600000000024
prev=6487.495, curr=6486.077, gap=1.4179999999996653
prev=6489.884, curr=6487.495, gap=2.3890000000001237
prev=6493.475, curr=6491.168, gap=2.3070000000006985
prev=6498.669, curr=6493.475, gap=5.193999999999505
prev=6500.107, curr=6498.669, gap=1.4380000000001019
prev=6501.293, curr=6500.107, gap=1.1859999999996944
prev=6505.023, curr=6501.393, gap=3.630000000000109
prev=6514.994, curr=6505.023, gap=9.970999999999549
prev=6523.58, curr=6514.994, gap=8.58600000000024
prev=6536.095, curr=6531.684, gap=4.411000000000058
prev=6537.78, curr=6536.095, gap=1.6849999999994907
prev=6539.888, curr=6537.78, gap=2.1080000000001746
prev=6541.474, curr=6539.888, gap=1.58600000000024
prev=6543.678, curr=6541.57, gap=2.1080000000001746
prev=6547.389, curr=6545.099, gap=2.2899999999999636
prev=6550.798, curr=6547.389, gap=3.4089999999996508
prev=6608.229, curr=6550.798, gap=57.431000000000495
prev=6622.114, curr=6609.322, gap=12.791999999999462
prev=6627.979, curr=6625.689, gap=2.2899999999999636
prev=6650.482, curr=6647.81, gap=2.6719999999995707
prev=6669.78, curr=6668.777, gap=1.0029999999997017
